""	"TCGA-24-1924-01"	"TCGA-25-1628-01"	"TCGA-13-0916-01"	"TCGA-20-1687-01"	"TCGA-13-2060-01"	"TCGA-23-1023-01"	"TCGA-20-1682-01"	"TCGA-30-1860-01"	"TCGA-61-1995-01"	"TCGA-29-1701-01"	"TCGA-09-0366-01"	"TCGA-29-2427-01"	"TCGA-09-1666-01"	"TCGA-29-1784-01"
"SRCIN1"	14	86	47	33	19	95	33	10	47	27	82	20	38	30
"SRD5A1"	35	31	32	28	31	32	32	31	36	27	33	18	35	31
"SRD5A2"	2	4	4	2	3	4	3	3	2	5	6	1	3	6
"SRD5A3"	29	25	30	26	31	32	30	35	24	31	32	34	27	29
"SRD5A3-AS1"	28	42	55	21	32	34	32	35	33	27	51	41	31	27
"SREBF1"	112	112	108	108	107	115	93	88	121	89	127	108	67	87
"SREBF2"	31	42	53	29	46	52	38	29	51	33	50	36	37	44
"SREBF2-AS1"	6	7	7	7	8	8	6	5	8	6	8	6	6	7
"SREK1"	39	69	69	51	54	64	47	50	89	48	71	41	58	46
"SREK1IP1"	23	25	27	15	24	25	19	27	28	29	26	21	28	26
"SRF"	12	12	14	11	12	13	11	11	12	10	13	10	12	12
"SRFBP1"	13	9	12	10	10	12	10	10	13	9	13	8	14	14
"SRGAP1"	27	33	28	23	29	29	30	21	37	26	37	23	25	30
"SRGAP2"	65	79	96	50	77	93	66	54	91	61	89	48	62	56
"SRGAP2-AS1"	0	3	1	4	3	4	0	0	5	0	7	0	2	0
"SRGAP2B"	14	22	32	18	26	27	20	16	27	16	31	17	20	19
"SRGAP2C"	16	17	19	13	18	20	15	13	18	16	17	12	10	14
"SRGAP3"	49	69	57	49	38	65	42	42	92	40	75	53	68	51
"SRGAP3-AS1"	0	0	1	0	0	1	0	0	1	0	1	0	0	0
"SRGAP3-AS2"	3	4	3	2	1	4	1	1	6	3	18	1	2	4
"SRGAP3-AS3"	2	3	3	1	0	1	0	1	4	1	3	1	3	0
"SRGAP3-AS4"	4	3	3	3	2	3	3	4	5	3	6	4	2	4
"SRGN"	24	21	20	18	21	19	17	19	21	21	26	19	19	22
"SRI"	72	66	80	54	65	67	64	70	74	83	84	49	61	74
