""	"TCGA-24-1924-01"	"TCGA-25-1628-01"	"TCGA-13-0916-01"	"TCGA-20-1687-01"	"TCGA-13-2060-01"	"TCGA-23-1023-01"	"TCGA-20-1682-01"	"TCGA-30-1860-01"	"TCGA-61-1995-01"	"TCGA-29-1701-01"	"TCGA-09-0366-01"	"TCGA-29-2427-01"	"TCGA-09-1666-01"	"TCGA-29-1784-01"
"CD55"	91	67	88	71	65	84	67	60	59	89	98	59	81	68
"CD58"	26	25	22	19	22	26	23	17	32	25	36	19	22	27
"CD59"	63	58	85	58	64	66	52	66	68	79	73	56	72	67
"CD5L"	2	0	1	0	0	2	2	4	1	2	1	1	1	0
"CD6"	30	51	45	18	23	47	28	33	42	32	21	38	25	31
"CD63"	112	102	118	89	107	120	105	91	109	119	140	83	110	94
"CD68"	39	37	30	21	27	30	32	33	39	29	41	36	35	37
"CD69"	24	16	17	12	20	13	14	17	17	15	23	15	9	18
"CD7"	22	27	30	14	23	28	13	26	23	12	32	27	13	24
"CD70"	10	11	14	3	10	18	20	8	9	8	10	7	8	11
"CD72"	35	27	49	22	35	29	26	25	28	31	49	25	22	32
"CD74"	116	107	126	126	104	121	94	107	123	85	138	119	102	122
"CD79A"	11	14	16	10	11	12	10	14	4	9	5	14	9	19
"CD79B"	16	16	23	10	17	20	13	11	10	14	12	15	6	20
"CD80"	17	15	13	6	14	10	8	13	10	15	12	9	9	14
"CD81"	112	98	95	77	67	94	118	91	111	85	102	111	95	103
"CD81-AS1"	8	10	10	3	5	10	3	4	11	6	8	3	8	6
"CD82"	54	73	48	69	35	90	57	37	80	32	61	61	59	55
"CD83"	19	18	22	16	18	17	16	18	19	16	21	15	18	19
"CD84"	21	34	26	18	22	23	19	19	38	18	37	28	30	26
"CD86"	43	35	30	25	27	18	27	34	34	36	52	36	32	34
"CD8A"	30	31	26	18	26	19	21	28	26	24	22	28	26	29
"CD8B"	27	25	23	10	12	17	18	20	14	20	14	17	20	17
"CD9"	95	70	59	81	76	79	102	67	93	95	113	49	69	100
"CD93"	11	11	11	10	10	12	10	8	11	9	12	9	10	10
"CD96"	33	36	34	12	33	31	26	26	36	26	30	29	28	27
"CD99"	61	63	71	42	42	60	56	45	64	55	75	57	61	52
"CD99L2"	41	48	58	30	24	38	36	35	42	35	46	24	49	41
"CDA"	11	14	13	10	11	16	11	10	12	10	17	5	11	8
"CDADC1"	26	24	32	12	25	25	20	20	27	20	22	10	23	19
"CDAN1"	22	30	35	21	27	26	18	18	35	21	33	20	27	25
"CDC123"	51	50	58	43	57	44	45	47	59	62	58	47	60	52
"CDC14A"	20	17	17	14	18	18	15	11	24	11	26	9	19	20
"CDC14B"	35	49	45	29	36	41	32	26	46	43	49	27	46	30
"CDC16"	72	70	70	50	65	59	46	48	65	57	70	47	50	51
"CDC20"	37	26	38	21	34	37	27	32	34	32	33	24	25	34
"CDC20B"	20	23	24	10	3	15	4	2	11	2	15	3	15	33
"CDC23"	37	34	40	24	29	29	27	20	39	26	34	20	28	29
"CDC25A"	22	23	39	17	22	31	21	23	30	17	18	12	25	24
"CDC25B"	65	66	62	56	52	57	45	41	75	49	73	44	50	59
"CDC25C"	28	32	27	19	22	30	20	26	40	18	29	16	28	25
"CDC26"	14	14	16	13	13	14	12	10	13	15	17	12	11	17
"CDC27"	71	61	82	41	62	78	43	47	72	66	63	26	40	61
"CDC34"	32	34	50	31	28	39	28	26	39	28	40	26	25	34
"CDC37"	48	57	73	35	45	52	41	33	64	44	68	34	45	44
"CDC37L1"	24	22	23	17	16	16	15	20	20	19	19	15	20	22
"CDC37L1-DT"	12	9	12	9	8	8	6	5	7	9	9	10	10	11
"CDC40"	25	27	33	24	21	23	26	23	29	28	31	17	16	21
"CDC42"	51	49	49	41	52	47	44	44	54	49	56	34	34	52
"CDC42-IT1"	1	3	4	0	2	2	0	1	4	2	3	0	3	0
"CDC42BPA"	66	67	65	42	52	62	44	50	68	39	51	55	52	62
"CDC42BPB"	46	47	58	36	44	47	35	25	51	34	54	26	29	36
"CDC42BPG"	10	19	17	15	11	15	19	10	24	11	20	13	18	12
"CDC42EP1"	14	24	23	31	17	28	20	17	29	13	12	19	27	25
"CDC42EP2"	13	15	20	8	9	19	13	14	17	14	18	10	8	8
"CDC42EP3"	35	40	38	29	35	39	31	30	42	22	43	25	35	34
"CDC42EP4"	45	42	43	43	35	46	42	39	38	40	53	37	40	39
"CDC42EP5"	22	48	66	48	19	48	16	53	27	30	39	41	34	15
"CDC42SE1"	45	41	43	31	41	45	33	37	52	41	63	33	37	41
"CDC42SE2"	41	52	45	40	40	44	32	34	53	42	47	40	47	48
"CDC45"	31	26	40	14	26	39	25	23	44	23	32	24	30	35
"CDC5L"	11	11	12	10	11	12	10	11	11	11	12	10	12	11
"CDC6"	16	22	23	11	18	19	19	21	25	26	17	15	17	22
"CDC7"	19	25	28	6	26	24	18	13	34	18	20	8	22	23
"CDC73"	20	21	21	11	21	21	13	16	18	20	22	17	21	16
"CDCA2"	27	30	31	18	25	29	24	23	35	24	22	15	19	20
"CDCA3"	79	71	97	40	74	75	71	69	80	79	75	46	66	79
"CDCA4"	21	20	25	17	21	20	17	20	21	18	20	15	18	20
"CDCA5"	51	30	56	14	30	45	24	43	45	46	42	25	34	46
"CDCA7"	42	34	58	17	25	41	35	35	54	26	31	22	30	34
"CDCA7L"	52	56	82	45	55	49	48	36	65	41	60	39	46	44
"CDCA8"	23	20	23	15	22	19	19	21	21	20	21	16	18	21
"CDCP1"	20	17	21	14	16	18	16	16	19	16	18	14	19	17
"CDCP2"	1	3	7	1	1	2	3	6	5	2	4	2	0	4
"CDH1"	38	47	38	27	29	35	25	15	69	29	48	19	32	29
"CDH10"	0	7	2	0	6	3	2	1	4	1	4	1	4	3
"CDH11"	34	82	26	39	48	54	67	40	34	43	45	45	26	27
"CDH12"	25	23	7	3	9	5	11	25	24	20	7	3	24	26
"CDH13"	13	24	22	9	8	21	18	14	12	12	14	11	16	14
"CDH15"	8	11	11	3	5	6	5	5	6	4	4	5	4	8
"CDH16"	34	2	2	3	2	12	1	0	6	38	1	10	2	14
"CDH17"	6	8	8	4	4	18	5	2	8	4	9	8	1	6
"CDH18"	17	7	7	5	36	60	15	5	6	24	8	3	10	4
"CDH18-AS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDH19"	1	4	1	2	25	6	2	3	4	8	10	4	2	9
"CDH2"	24	31	32	18	24	25	28	26	25	18	12	10	23	26
"CDH20"	10	4	6	9	2	10	2	5	5	10	7	2	13	6
"CDH22"	0	14	6	16	0	10	7	3	15	10	9	6	11	3
"CDH23"	28	44	30	24	17	81	34	50	72	48	50	33	27	41
"CDH23-AS1"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"CDH24"	32	42	47	16	24	43	35	37	50	21	30	23	25	27
"CDH26"	5	15	16	18	7	11	7	6	9	5	20	11	6	17
"CDH3"	41	67	58	37	47	67	36	43	64	49	40	35	45	37
"CDH4"	8	10	31	5	2	18	2	5	9	2	10	3	7	5
"CDH5"	17	23	19	11	12	28	15	14	16	17	18	14	16	12
"CDH6"	43	46	19	26	30	47	38	22	36	46	41	25	37	50
"CDH7"	5	11	7	5	4	5	3	2	8	3	8	3	5	3
"CDH8"	10	14	14	8	18	14	10	4	15	10	18	8	8	9
"CDH9"	3	5	4	1	0	2	0	0	5	1	5	0	2	1
"CDHR1"	26	15	33	22	20	22	56	20	30	13	26	14	27	23
"CDHR2"	5	17	9	3	1	30	13	4	9	0	14	3	5	6
"CDHR3"	30	22	49	13	28	23	22	8	37	15	45	16	19	29
"CDHR4"	10	11	18	5	1	7	2	0	7	1	19	1	8	13
"CDHR5"	5	29	25	2	6	61	10	4	22	2	22	8	7	2
"CDIN1"	34	44	50	32	35	41	30	28	53	29	45	31	32	21
"CDIP1"	42	48	49	38	42	57	49	37	52	43	65	35	27	63
"CDIPT"	71	67	82	58	58	74	62	56	75	56	82	57	65	72
"CDIPTOSP"	11	11	16	4	8	7	4	3	9	9	5	5	4	13
"CDK1"	45	39	42	20	37	36	36	32	54	45	36	27	35	38
"CDK10"	101	125	133	73	96	101	80	69	132	79	130	69	109	93
"CDK11A"	62	78	93	41	53	52	38	44	101	46	105	22	50	43
"CDK11B"	42	56	56	45	38	46	40	31	57	38	53	33	30	35
"CDK12"	49	64	65	44	47	55	50	42	58	41	64	39	51	56
"CDK13"	38	46	47	38	39	43	37	33	47	31	45	35	35	41
"CDK14"	11	13	26	10	11	29	13	7	20	14	22	12	17	22
"CDK15"	5	12	4	4	6	6	6	3	7	10	5	4	4	1
"CDK16"	158	124	165	143	114	160	94	120	153	121	170	97	112	125
"CDK17"	25	36	39	17	26	25	20	26	41	21	36	18	24	26
"CDK18"	60	67	74	38	48	82	63	38	89	43	98	44	54	61
"CDK19"	38	42	47	35	37	37	35	28	37	31	45	25	28	22
"CDK2"	56	74	82	43	57	63	52	61	96	62	65	22	57	60
"CDK20"	42	53	63	38	43	55	26	35	48	33	55	28	48	53
"CDK2AP1"	69	71	83	51	55	72	67	53	84	61	81	55	54	70
"CDK2AP2"	48	37	41	33	33	43	35	37	38	42	43	35	34	44
"CDK3"	13	14	17	8	13	14	9	9	16	12	16	7	14	17
"CDK4"	86	90	111	62	94	95	64	93	121	91	106	62	85	108
"CDK5"	33	25	29	20	30	23	28	21	26	18	26	16	22	30
"CDK5R1"	6	9	11	6	5	10	8	5	8	6	9	4	7	8
"CDK5R2"	4	6	5	2	2	6	3	1	4	4	5	1	4	3
"CDK5RAP1"	70	72	75	51	56	70	51	52	69	53	73	45	71	59
"CDK5RAP2"	71	97	108	83	74	92	69	61	90	62	96	80	81	70
"CDK5RAP3"	90	106	156	77	89	118	65	66	109	71	130	70	100	96
"CDK6"	13	23	29	15	19	19	9	7	19	14	17	10	14	10
"CDK6-AS1"	1	10	12	5	9	2	2	0	2	2	2	2	3	0
"CDK7"	49	67	59	55	90	75	40	62	84	71	75	34	80	76
"CDK8"	30	38	30	25	30	30	29	20	25	29	30	25	30	31
"CDK9"	38	42	50	36	39	45	33	37	42	32	50	35	35	40
"CDKAL1"	23	30	32	25	28	27	26	17	27	29	33	25	31	26
"CDKL1"	33	34	38	15	32	29	19	19	44	31	33	18	36	29
"CDKL2"	20	13	20	3	18	12	6	10	19	21	11	7	8	9
"CDKL3"	29	34	33	24	27	29	19	12	32	34	31	14	36	37
"CDKL4"	9	12	13	0	3	2	3	7	2	4	4	2	5	11
"CDKL5"	23	24	31	16	22	21	21	16	30	20	23	17	21	19
"CDKN1A"	31	33	29	17	21	34	23	18	26	28	42	19	22	30
"CDKN1B"	20	18	25	15	18	18	18	18	25	20	18	15	18	19
"CDKN1C"	35	58	68	48	52	46	44	38	53	48	62	40	46	43
"CDKN2A"	114	94	110	46	107	110	104	99	107	101	132	98	110	98
"CDKN2A-DT"	4	4	3	1	4	2	4	2	4	3	6	3	5	3
"CDKN2AIP"	25	26	28	17	21	24	21	24	28	23	22	18	22	25
"CDKN2AIPNL"	17	15	17	16	17	18	14	13	15	16	17	13	17	17
"CDKN2B"	23	22	19	20	22	24	24	19	23	17	28	11	18	21
"CDKN2B-AS1"	30	24	36	12	30	35	27	24	25	26	54	27	35	29
"CDKN2C"	26	20	35	22	23	24	27	31	25	23	27	19	22	31
"CDKN2D"	19	17	20	15	16	16	14	14	17	19	19	13	15	18
"CDKN3"	53	44	57	23	41	50	49	42	65	67	41	37	35	43
"CDNF"	11	13	14	11	14	8	5	7	9	12	17	15	14	15
"CDO1"	6	12	11	1	5	8	4	4	8	8	2	4	6	5
"CDON"	15	27	23	25	25	27	33	19	49	20	25	14	23	21
"CDPF1"	31	27	37	25	25	37	18	31	32	24	45	32	32	34
"CDR2"	29	33	38	19	22	28	26	27	31	25	24	18	26	30
"CDR2-DT"	4	6	7	1	1	4	3	2	5	2	7	2	2	3
"CDR2L"	12	13	11	12	12	13	11	9	11	12	12	10	12	12
"CDRT1"	8	10	7	3	5	5	4	1	12	1	13	2	4	4
"CDRT15"	3	8	3	1	9	4	2	4	7	2	5	2	2	3
"CDRT15L2"	1	0	0	0	2	0	0	0	1	0	3	0	0	0
"CDRT15P3"	13	14	15	8	13	12	10	10	11	12	16	10	13	12
"CDRT4"	11	22	17	10	14	14	10	3	17	14	20	10	9	11
"CDRT7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDRT8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDS1"	10	13	11	13	11	13	9	11	13	11	11	10	11	11
"CDS2"	45	42	42	28	35	48	33	34	47	39	49	32	36	46
"CDSN"	9	9	16	2	10	19	3	3	8	11	9	7	9	4
"CDT1"	25	25	33	19	22	27	25	26	29	19	25	21	26	25
"CDV3"	43	57	59	46	48	52	50	47	62	40	54	39	47	45
"CDX1"	3	3	5	1	2	17	2	3	2	3	0	4	1	2
"CDX2"	1	2	8	1	0	16	2	7	2	0	3	2	3	3
"CDX4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDY1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDY1B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDY2A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDY2B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDYL"	28	31	35	19	26	28	25	22	23	28	40	19	24	26
"CDYL-AS1"	1	0	2	0	3	1	1	0	1	0	1	0	0	0
"CDYL2"	14	10	12	7	6	15	8	21	9	10	9	13	9	8
"CEACAM1"	61	45	63	53	34	75	41	46	51	41	56	51	44	30
"CEACAM16"	0	1	3	0	1	0	0	0	1	1	6	0	0	0
"CEACAM16-AS1"	14	12	18	9	7	9	8	11	13	10	16	13	9	13
"CEACAM18"	0	2	0	0	0	1	0	0	0	1	0	0	0	0
"CEACAM19"	20	41	39	32	15	41	24	13	35	31	44	20	32	28
"CEACAM20"	1	2	2	0	1	2	0	0	0	0	5	0	1	1
"CEACAM21"	29	34	19	17	21	24	22	24	29	21	37	21	18	34
"CEACAM3"	9	3	2	0	2	9	2	2	5	6	4	1	2	2
"CEACAM4"	6	9	8	2	4	4	5	7	10	8	17	3	6	3
"CEACAM5"	3	4	2	15	3	48	10	1	4	4	6	12	4	3
"CEACAM6"	9	12	20	14	10	14	12	12	14	3	13	17	12	4
"CEACAM7"	7	10	9	13	5	30	7	7	9	4	6	8	6	8
"CEACAM8"	4	6	7	0	2	3	2	2	4	2	6	3	3	5
"CEBPA"	10	11	12	10	8	10	12	10	12	10	13	11	10	12
"CEBPA-DT"	6	7	9	8	4	8	7	5	8	7	7	6	7	8
"CEBPB"	14	13	14	14	13	14	13	13	13	13	14	13	12	14
"CEBPB-AS1"	6	8	8	6	6	6	6	5	7	7	8	5	7	6
"CEBPD"	13	12	14	13	13	14	12	13	13	12	15	11	12	12
"CEBPE"	4	3	3	2	2	2	1	1	2	3	4	3	0	4
"CEBPG"	20	22	24	19	18	20	19	19	22	20	21	19	19	20
"CEBPZ"	20	17	21	14	21	18	20	19	11	18	18	16	19	21
"CEBPZOS"	41	45	42	37	49	39	36	35	49	51	47	32	45	41
"CECR2"	11	20	29	4	5	34	5	8	29	13	24	8	18	3
"CECR3"	2	0	1	0	0	1	0	0	0	1	2	1	1	0
"CECR7"	22	23	19	11	20	16	11	23	15	18	21	11	16	18
"CECR9"	0	0	0	0	0	0	0	0	0	1	1	0	0	0
"CEL"	8	9	10	7	4	7	8	9	8	9	9	5	7	7
"CELA1"	2	1	3	0	1	1	2	0	0	2	3	1	0	1
"CELA2A"	1	6	7	3	2	4	3	2	9	0	10	1	3	3
"CELA2B"	0	4	4	1	2	3	0	1	7	0	9	0	0	3
"CELA3A"	0	0	3	0	0	0	0	0	5	0	0	1	0	0
"CELA3B"	2	5	6	2	3	4	1	2	9	5	11	2	2	3
"CELF1"	88	117	108	61	81	99	77	72	120	51	103	67	79	77
"CELF2"	39	67	58	42	30	52	36	38	69	28	55	45	47	46
"CELF2-AS1"	1	4	4	0	0	1	0	1	4	1	5	2	2	0
"CELF2-AS2"	0	1	2	0	0	0	0	0	1	0	0	0	0	0
"CELF2-DT"	3	4	5	2	5	3	2	2	5	3	4	3	3	2
"CELF3"	1	2	37	1	5	12	1	2	3	0	6	0	1	3
"CELF4"	39	22	19	16	23	22	15	22	27	19	26	15	15	24
"CELF5"	27	20	35	23	18	23	21	17	27	15	15	18	15	27
"CELF6"	13	19	29	11	13	9	5	7	23	5	29	10	13	10
"CELSR1"	40	27	38	23	24	30	34	29	30	30	40	29	28	34
"CELSR2"	33	35	40	32	33	37	30	21	39	28	40	31	36	34
"CELSR3"	17	28	31	9	19	21	15	12	28	14	23	14	19	20
"CEMIP"	27	34	28	23	33	30	19	7	40	20	20	8	18	17
"CEMIP2"	45	63	51	35	50	52	48	38	73	32	47	28	49	37
"CEMP1"	2	1	6	0	10	0	0	0	0	0	1	0	9	0
"CENATAC"	45	54	54	40	34	51	36	32	65	42	52	36	55	49
"CENATAC-DT"	11	11	14	9	11	11	11	11	16	9	10	9	13	11
"CEND1"	8	7	7	6	1	7	4	12	8	3	5	5	7	8
"CENPA"	35	26	34	20	34	28	29	29	37	37	33	27	20	35
"CENPB"	11	13	13	12	12	13	11	11	13	11	13	11	12	13
"CENPBD1"	3	3	5	3	0	3	4	0	3	0	0	3	5	0
"CENPC"	33	33	26	27	32	30	22	28	32	35	31	27	32	32
"CENPE"	17	19	22	10	20	17	16	13	18	19	15	11	16	10
"CENPF"	32	38	38	24	33	37	30	28	40	32	30	27	30	27
"CENPH"	18	25	21	14	18	21	19	24	27	22	24	13	20	23
"CENPI"	31	23	30	8	25	23	21	24	24	27	22	9	18	23
"CENPJ"	29	40	33	16	21	26	20	15	38	13	35	13	30	23
"CENPK"	43	62	67	21	42	52	33	48	77	59	58	28	55	39
"CENPL"	49	40	45	23	26	32	35	31	52	43	31	24	34	41
"CENPM"	37	30	47	20	30	35	29	34	33	39	38	38	29	37
"CENPN"	65	50	73	25	54	49	50	49	52	60	45	43	36	45
"CENPN-AS1"	8	11	12	2	8	7	3	1	10	3	10	4	10	3
"CENPO"	37	46	48	14	43	52	32	43	52	39	43	26	31	32
"CENPP"	19	28	30	20	17	23	20	21	22	28	23	21	19	23
"CENPQ"	10	9	9	6	9	9	7	8	8	10	9	8	9	9
"CENPS"	18	27	30	16	24	22	14	17	27	28	29	18	18	23
"CENPS-CORT"	22	19	27	11	19	21	14	17	17	23	25	8	11	26
"CENPT"	88	82	93	31	74	72	57	45	110	62	93	47	80	73
"CENPU"	30	37	38	13	33	31	33	29	40	35	34	26	30	32
"CENPV"	37	42	44	24	19	28	21	31	23	37	36	26	27	31
"CENPW"	24	21	24	13	18	24	25	21	17	24	24	14	16	20
"CENPX"	68	56	80	55	61	72	50	64	55	69	66	45	61	61
"CEP104"	33	43	45	20	57	51	28	35	54	39	62	22	23	39
"CEP112"	31	43	47	15	35	36	23	18	37	26	44	17	44	26
"CEP120"	26	33	27	27	19	23	20	22	40	17	35	24	32	22
"CEP126"	12	15	19	7	13	13	9	14	12	14	14	6	16	13
"CEP128"	36	35	32	13	37	38	18	22	38	16	25	13	20	27
"CEP131"	43	41	55	34	27	48	32	37	48	26	47	25	44	36
"CEP135"	29	29	34	13	26	21	21	22	28	27	28	18	23	24
"CEP152"	18	21	20	14	18	20	11	22	29	14	19	14	17	15
"CEP162"	27	35	39	21	23	23	22	22	20	20	32	14	25	26
"CEP164"	63	75	73	62	60	73	59	49	86	47	63	58	66	58
"CEP170"	66	89	53	40	54	63	40	38	80	43	80	43	52	63
"CEP170B"	42	41	48	32	38	43	35	35	43	30	45	30	38	34
"CEP19"	7	8	13	5	6	7	7	7	11	5	8	5	7	9
"CEP192"	65	70	74	54	56	64	50	53	69	55	69	36	52	49
"CEP192-DT"	4	4	5	3	5	3	3	1	4	4	4	1	3	4
"CEP20"	74	64	58	60	50	58	62	77	62	77	67	49	65	86
"CEP250"	51	86	84	55	54	64	72	36	85	20	50	39	52	40
"CEP250-AS1"	10	10	9	3	5	7	5	6	11	5	14	4	5	11
"CEP290"	23	28	30	23	28	26	16	23	28	22	29	10	21	25
"CEP295"	36	38	38	25	33	31	29	32	43	27	32	21	32	27
"CEP295NL"	3	10	12	2	4	12	0	2	11	6	9	0	3	3
"CEP350"	32	36	32	21	25	34	27	15	43	18	32	21	25	28
"CEP41"	56	70	77	52	58	57	56	52	62	49	63	36	46	64
"CEP43"	32	33	39	23	31	29	28	28	38	25	41	28	30	27
"CEP44"	37	35	34	22	36	34	32	21	36	36	31	20	27	33
"CEP55"	20	14	16	8	19	11	12	11	20	15	13	13	13	13
"CEP57"	78	61	56	56	51	64	39	65	82	56	29	35	51	58
"CEP57L1"	86	67	97	48	75	49	84	75	75	75	62	37	64	47
"CEP63"	33	46	53	38	42	40	46	29	49	23	47	37	46	38
"CEP68"	28	25	30	28	23	35	20	26	28	18	40	25	30	24
"CEP70"	69	65	62	49	59	47	55	79	67	68	64	45	55	59
"CEP72"	25	29	30	21	23	26	21	19	28	17	27	21	24	22
"CEP76"	64	40	51	22	35	28	27	30	41	40	43	17	30	46
"CEP78"	50	49	59	34	46	51	37	45	61	49	54	35	44	44
"CEP83"	52	62	67	24	47	29	21	35	64	33	63	19	37	49
"CEP83-DT"	6	6	7	2	8	5	3	4	7	5	6	3	5	7
"CEP85"	28	40	40	22	30	29	29	25	44	34	48	20	29	34
"CEP85L"	20	22	27	14	23	20	16	17	27	10	20	15	21	19
"CEP89"	57	62	61	45	47	56	50	47	59	63	63	42	54	54
"CEP95"	71	79	74	53	73	64	37	45	88	67	85	39	75	64
"CEP97"	11	19	20	7	17	18	15	12	26	11	22	9	17	15
"CEPT1"	46	45	50	36	32	38	40	34	52	40	52	39	45	47
"CER1"	3	2	3	0	0	0	0	2	0	0	1	0	0	1
"CERCAM"	52	71	64	41	53	76	39	42	58	42	79	46	39	46
"CERK"	15	15	14	14	13	17	10	10	19	15	23	14	13	16
"CERKL"	10	17	20	7	11	12	10	12	14	10	17	11	12	10
"CERNA1"	6	7	12	6	8	8	2	6	8	2	9	3	9	7
"CERNA3"	3	1	3	0	2	0	0	0	2	1	0	1	1	1
"CEROX1"	5	11	12	4	5	29	4	9	13	6	17	4	5	6
"CERS1"	17	23	29	11	8	30	15	14	27	18	24	14	11	28
"CERS2"	77	75	101	56	81	79	61	54	77	62	108	48	74	76
"CERS3"	4	1	6	7	1	5	2	1	9	0	7	1	0	4
"CERS3-AS1"	2	4	11	1	0	1	0	1	5	0	0	0	5	0
"CERS4"	61	82	72	68	89	111	97	64	105	76	92	58	42	74
"CERS5"	88	124	122	63	90	84	65	67	110	75	135	56	87	104
"CERS6"	20	22	25	18	20	23	20	20	24	18	21	18	22	21
"CERS6-AS1"	23	25	36	22	22	26	22	18	29	18	24	19	27	18
"CERT1"	32	34	32	25	34	34	23	25	39	25	35	22	29	29
"CES1"	38	30	6	14	5	25	20	26	7	22	39	9	1	6
"CES2"	32	42	49	31	36	50	30	27	52	32	47	30	32	37
"CES3"	28	25	36	13	16	44	10	24	18	14	40	15	28	35
"CES4A"	21	30	21	9	29	22	22	9	30	32	38	26	22	33
"CES5A"	4	11	9	0	3	11	1	3	2	2	5	3	4	3
"CETN1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CETN2"	15	14	18	15	12	15	15	13	12	15	19	11	16	17
"CETN3"	33	38	36	34	38	33	29	25	43	32	37	27	31	38
"CETP"	11	9	16	7	11	15	4	4	5	5	6	7	6	6
"CFAP100"	16	21	48	3	0	13	7	4	12	1	43	1	20	14
"CFAP126"	8	8	11	6	8	8	3	8	7	6	9	5	10	10
"CFAP157"	25	29	45	23	23	36	14	21	24	17	41	20	29	34
"CFAP161"	5	8	17	3	2	8	5	4	10	4	5	3	7	8
"CFAP20"	28	29	36	18	23	25	23	25	39	23	33	16	23	30
"CFAP206"	21	20	22	21	15	19	15	22	22	19	26	9	27	25
"CFAP20DC"	26	36	54	14	39	39	23	19	45	31	37	10	28	35
"CFAP20DC-AS1"	0	2	2	0	0	0	0	0	1	0	1	0	1	0
"CFAP221"	33	34	42	15	16	23	15	17	20	12	46	18	50	40
"CFAP251"	22	45	37	24	38	47	20	26	44	35	53	25	42	46
"CFAP298"	47	54	49	40	53	44	25	31	53	49	64	30	54	52
"CFAP298-TCP10L"	11	10	7	10	3	5	12	4	15	6	14	2	3	13
"CFAP299"	2	3	6	4	7	6	1	2	3	5	10	0	6	12
"CFAP300"	26	26	32	16	16	19	11	25	19	27	27	13	25	27
"CFAP36"	54	52	50	48	50	46	41	37	55	46	58	31	54	47
"CFAP410"	35	44	47	33	34	51	35	26	43	32	60	27	41	34
"CFAP43"	27	36	34	19	23	29	18	9	26	7	37	18	34	36
"CFAP44"	25	28	47	14	25	27	20	16	38	16	45	11	34	25
"CFAP44-AS1"	0	2	2	0	0	1	1	0	2	0	2	1	1	0
"CFAP45"	23	12	34	5	12	13	13	20	20	14	30	7	21	25
"CFAP46"	16	18	46	22	4	40	7	24	32	6	34	11	29	27
"CFAP47"	5	13	10	2	22	10	5	8	16	6	14	2	13	17
"CFAP52"	13	21	23	7	14	15	9	4	18	9	28	9	15	23
"CFAP53"	7	7	8	5	9	5	5	6	5	4	8	4	7	8
"CFAP54"	30	31	43	11	32	23	17	24	39	14	38	15	22	28
"CFAP57"	13	12	21	8	18	18	7	6	16	6	22	7	10	14
"CFAP58"	4	4	8	4	3	3	5	1	4	1	3	2	7	3
"CFAP58-DT"	5	4	7	3	6	4	4	2	3	3	4	3	4	5
"CFAP61"	14	31	23	14	22	19	1	11	15	7	27	2	24	22
"CFAP61-AS1"	2	2	0	0	5	2	2	1	2	2	3	1	0	2
"CFAP65"	23	33	25	5	9	20	3	5	8	2	60	1	23	26
"CFAP69"	30	46	46	32	38	29	24	24	46	17	38	17	30	38
"CFAP70"	20	33	39	23	15	21	17	17	25	10	37	25	31	38
"CFAP73"	14	12	17	13	7	11	5	7	9	3	17	3	8	15
"CFAP74"	10	22	21	12	10	22	12	10	17	11	28	8	13	30
"CFAP77"	7	9	17	6	1	15	1	5	8	1	17	1	15	10
"CFAP91"	39	30	64	14	30	38	22	25	39	34	39	9	23	43
"CFAP92"	17	17	31	10	18	16	24	12	12	13	21	10	16	18
"CFAP94"	29	18	61	13	32	17	17	18	19	16	39	7	23	38
"CFAP97"	22	22	23	15	21	16	18	17	23	16	18	16	19	17
"CFAP97D1"	4	5	4	2	4	3	3	2	5	4	5	3	3	3
"CFAP99"	15	13	25	6	5	16	1	5	12	6	17	2	9	14
"CFB"	427	224	484	283	341	252	122	229	274	223	401	340	304	291
"CFC1"	1	5	8	3	5	2	0	0	1	0	0	0	0	2
"CFC1B"	0	2	0	0	4	0	0	0	0	0	0	0	0	0
"CFD"	31	28	29	21	24	30	17	27	32	32	35	25	20	28
"CFDP1"	37	48	44	20	42	40	23	27	47	40	47	34	41	33
"CFH"	32	34	38	21	28	28	23	21	24	23	45	24	35	21
"CFHR1"	2	3	4	0	1	5	3	1	2	4	7	1	2	1
"CFHR2"	0	0	1	0	0	1	0	0	0	0	1	0	1	0
"CFHR3"	5	16	21	1	19	13	2	0	2	9	10	0	2	4
"CFHR4"	1	1	4	0	9	2	4	0	0	3	5	0	0	3
"CFHR5"	0	0	2	0	0	0	0	0	0	0	0	0	3	0
"CFI"	45	55	59	32	53	32	38	53	52	42	56	44	44	49
"CFL1"	97	93	118	81	88	106	79	90	114	93	98	85	94	100
"CFL2"	42	49	47	33	49	47	41	38	52	50	49	35	48	47
"CFLAR"	126	114	141	79	105	135	74	118	129	109	127	103	93	108
"CFLAR-AS1"	23	23	28	4	8	23	10	9	31	13	29	19	12	17
"CFP"	15	14	22	9	11	19	14	12	17	10	24	8	11	16
