""	"TCGA-23-2078-01"	"TCGA-20-1687-01"	"TCGA-57-1582-01"	"TCGA-13-1410-01"	"TCGA-13-1405-01"	"TCGA-24-2271-01"	"TCGA-61-2111-01"	"TCGA-36-1574-01"	"TCGA-13-1505-01"
"C19orf38"	116	61	45	185	100	52	82	92	43
"C19orf44"	1436	537	466	961	385	272	658	539	854
"C19orf47"	1646	654	1981	4228	1900	451	959	1760	865
"C19orf48"	7955	2414	6207	10357	4336	2058	1635	3701	3093
"C19orf53"	14207	5811	8929	20960	6155	3195	4421	10077	6668
"C19orf54"	2759	723	1639	2024	1894	992	1218	2074	1158
"C19orf67"	23	2	7	17	14	4	9	22	15
"C19orf71"	268	34	103	184	153	85	54	88	229
"C19orf73"	112	52	81	97	132	26	38	62	49
"C19orf81"	557	94	156	381	427	85	125	228	249
"C19orf84"	157	19	26	194	55	185	50	164	35
"C1D"	2807	1880	1939	2287	3074	715	1227	2677	2108
"C1DP1"	21	13	15	12	15	3	39	30	6
"C1DP2"	0	0	1	0	0	0	2	1	0
"C1DP3"	0	0	0	0	0	0	0	0	0
"C1DP4"	0	0	0	1	0	1	0	0	0
"C1DP5"	2	2	0	3	2	3	0	2	1
"C1GALT1"	2224	1313	1753	2583	4094	585	1518	2342	785
"C1GALT1C1"	2020	1750	1986	2339	2906	899	1347	2582	1268
"C1GALT1C1L"	158	27	89	8	78	52	80	94	68
"C1GALT1P1"	21	3	3	3	1	4	8	0	4
"C1GALT1P2"	3	1	1	0	1	0	0	2	0
"C1GALT1P3"	0	0	0	0	0	0	1	0	0
"C1orf100"	21	11	4	18	8	8	5	1	5
"C1orf105"	0	0	3	21	1	25	1	0	0
"C1orf109"	2507	1149	2371	2637	2037	330	738	2405	3069
"C1orf112"	935	185	1274	1207	944	303	606	696	746
"C1orf115"	800	233	606	404	482	859	475	584	1092
"C1orf116"	583	3206	405	1647	5842	3260	829	1648	710
"C1orf122"	4555	1868	2734	3379	5288	651	1611	7118	3400
"C1orf127"	20	4	4	26	23	23	14	28	13
"C1orf131"	908	435	687	1695	1078	445	881	1015	746
"C1orf141"	0	1	1	5	9	5	0	12	0
"C1orf146"	10	5	6	3	6	4	0	6	7
"C1orf147"	39	10	2	17	19	33	14	31	19
"C1orf158"	27	25	31	0	0	6	3	42	31
"C1orf159"	3201	711	1926	1508	2298	615	1682	1657	1842
"C1orf162"	1523	987	597	2001	2209	691	421	702	735
"C1orf167"	4	0	3	11	1	2	33	2	3
"C1orf167-AS1"	1	0	0	0	0	0	2	0	1
"C1orf174"	3035	1375	2582	2325	2550	618	1199	2629	2381
"C1orf185"	2	0	0	0	1	1	0	0	1
"C1orf189"	5	9	7	5	11	2	2	19	6
"C1orf194"	191	26	80	20	32	49	9	280	49
"C1orf195"	16	0	3	2	8	7	7	2	13
"C1orf198"	9951	4538	5395	8582	12486	3036	4408	4918	7901
"C1orf21"	826	561	3165	463	2371	325	807	1781	1755
"C1orf21-DT"	10	1	14	1	13	5	4	13	4
"C1orf210"	1740	1153	1508	2811	3166	915	3644	2318	2018
"C1orf216"	958	308	587	1189	1357	358	726	942	1102
"C1orf220"	97	7	38	35	28	46	30	35	39
"C1orf226"	1217	409	398	3382	1286	637	1646	1314	953
"C1orf229"	31	14	9	34	49	8	29	18	17
"C1orf35"	1805	670	1598	2532	1313	585	934	1536	1519
"C1orf43"	18913	12110	14691	24052	19999	6558	8855	24847	14489
"C1orf50"	808	380	488	697	614	397	728	693	1260
"C1orf52"	1443	485	851	1305	1463	747	504	1744	953
"C1orf53"	128	89	83	179	184	51	154	128	154
"C1orf54"	407	167	127	281	340	206	143	286	214
"C1orf56"	962	654	610	1905	999	617	552	1332	649
"C1orf68"	0	0	0	0	0	0	0	0	0
"C1orf74"	508	148	249	843	514	142	400	702	307
"C1orf87"	6	11	12	2	1	11	6	55	2
"C1orf94"	2	1	4	2	23	3	1	1	1
"C1QA"	11377	3745	2663	8414	8527	2839	2769	6764	2310
"C1QB"	17407	6911	5854	16157	16828	4194	4330	11701	4300
"C1QBP"	5088	4407	9175	9543	5116	1557	1938	10629	8579
"C1QBPP1"	0	0	0	0	0	0	0	0	0
"C1QBPP2"	40	13	33	29	24	51	25	29	52
"C1QC"	19188	8044	6137	18766	15153	3792	4951	15053	4588
"C1QL1"	114	331	93	389	178	209	121	220	1969
"C1QL1P1"	0	0	0	0	0	0	0	0	0
"C1QL2"	4	0	1	0	100	0	1	1	1
"C1QL3"	2	103	62	20	72	2	41	23	24
"C1QL4"	674	2952	76	25	12	50	16	22	704
"C1QTNF1"	3765	896	683	2181	4972	1171	383	2063	1590
"C1QTNF1-AS1"	5	2	0	2	6	1	0	1	2
"C1QTNF12"	109	10	75	33	204	30	35	349	126
"C1QTNF2"	154	21	18	45	82	27	13	68	37
"C1QTNF3"	1434	692	249	388	896	508	254	733	1973
"C1QTNF3-AMACR"	6	1	2	9	7	1	4	0	7
"C1QTNF4"	142	40	23	70	93	76	40	83	187
"C1QTNF5"	0	0	0	0	0	0	0	0	0
"C1QTNF6"	8388	945	1847	2170	5251	1200	1489	3047	2253
"C1QTNF7"	507	167	52	92	315	90	159	97	678
"C1QTNF7-AS1"	6	3	2	2	2	3	4	6	29
"C1QTNF8"	0	0	0	0	0	0	0	1	0
"C1QTNF9"	11	0	7	17	11	5	5	1	5
"C1QTNF9-AS1"	0	0	0	0	1	0	0	0	0
"C1QTNF9B"	28	3	0	9	2	11	1	6	123
"C1R"	17212	7946	3231	20059	19855	14461	3016	12142	11256
"C1RL"	4379	2083	1185	3524	4402	2226	4128	3137	3666
"C1RL-AS1"	654	52	78	190	316	298	256	257	645
"C1S"	20090	5176	5027	18262	31908	22462	4998	24404	13350
"C2"	2381	1453	1101	5662	1510	2133	505	6734	410
"C2-AS1"	6	0	9	9	5	6	7	16	4
"C20orf141"	3	0	2	1	43	0	1	23	1
"C20orf144"	41	5	49	44	49	31	90	52	20
"C20orf173"	12	0	3	6	2	0	0	2	5
"C20orf181"	4	0	1	0	3	1	0	0	1
"C20orf194"	2344	445	709	824	1628	763	917	648	1460
"C20orf197"	25	55	6	6	31	24	13	26	20
"C20orf202"	28	17	7	18	23	9	2	14	8
"C20orf203"	24	9	3	61	17	21	12	2	88
"C20orf204"	5461	612	8144	763	179	1795	299	1100	1697
"C20orf27"	5903	3479	8145	3800	5118	2746	1217	5575	3327
"C20orf85"	10	47	80	0	7	17	6	94	6
"C20orf96"	2132	284	1621	1392	1310	563	702	842	2105
"C21orf58"	2647	227	520	1871	1870	568	528	518	635
"C21orf62"	7	10	1	14	7	8	7	4	14
"C21orf62-AS1"	39	35	32	67	39	12	34	61	34
"C21orf91"	3075	1031	4616	2677	2361	1357	922	2316	3092
"C21orf91-OT1"	7	1	7	3	3	6	0	2	8
"C22orf15"	63	8	26	17	36	32	3	18	15
"C22orf23"	47	57	47	110	212	17	31	48	54
"C22orf24"	23	4	18	22	34	12	12	9	19
"C22orf31"	0	0	0	0	0	0	0	0	0
"C22orf34"	90	19	28	74	62	16	29	18	45
"C22orf39"	2363	1884	999	1059	1566	459	423	1423	939
"C22orf42"	0	0	0	0	0	3	1	1	0
"C22orf46"	885	410	382	904	636	440	585	1400	470
"C2CD2"	1586	2047	1586	3103	3507	743	1690	1439	1310
"C2CD2L"	4001	2100	744	2847	1694	1664	1442	1616	754
"C2CD3"	4663	1841	1891	4478	3215	1079	1586	3192	1692
"C2CD4A"	15	309	23	64	6	6	2813	19	32
"C2CD4B"	84	670	26	291	80	159	1754	250	58
"C2CD4C"	56	11	7	16	615	12	34	62	53
"C2CD4D"	41	73	23	91	128	140	123	54	57
"C2CD4D-AS1"	28	27	26	71	24	76	43	38	16
"C2CD5"	2248	1918	1617	2289	1482	1227	1858	2107	4609
"C2CD6"	38	4	6	5	14	54	86	68	185
"C2orf15"	451	470	841	355	432	133	274	570	850
"C2orf16"	236	65	90	31	247	62	72	67	120
"C2orf42"	1628	943	852	1250	769	506	899	920	1056
"C2orf49"	2523	1249	1659	1673	1878	824	1292	2285	2595
"C2orf49-DT"	360	54	223	169	242	80	100	285	446
"C2orf50"	125	54	80	40	87	289	100	129	225
"C2orf66"	30	9	3	3	40	42	9	5	18
"C2orf68"	7126	2032	5244	4319	2879	1320	2079	2650	4232
"C2orf69"	1056	831	997	1835	1818	411	639	1994	1457
"C2orf69P1"	0	0	0	0	0	0	1	0	0
"C2orf69P2"	0	0	0	0	0	0	0	0	0
"C2orf69P3"	0	0	0	0	0	0	0	0	0
"C2orf69P4"	0	0	0	0	0	0	0	0	0
"C2orf72"	179	6	6	10	13	0	48	5	7
"C2orf73"	2	12	16	11	14	6	8	69	18
"C2orf74"	294	101	87	306	144	44	108	191	176
"C2orf76"	460	584	1049	817	802	172	338	797	756
"C2orf78"	21	0	0	0	0	0	0	0	0
"C2orf80"	0	0	4	2	0	0	2	0	7
"C2orf83"	4	0	1	1	1	1	0	0	0
"C2orf88"	390	1602	9910	3460	1121	957	4197	1594	1253
"C2orf91"	3	2	3	0	10	2	21	158	3
"C2orf92"	310	56	116	113	194	112	99	45	200
"C3"	84503	141074	8847	244182	348429	145529	24289	79731	40612
"C3AR1"	1242	909	706	850	695	370	502	1119	460
"C3orf14"	893	53	465	968	753	332	170	688	244
"C3orf18"	612	307	301	889	479	317	339	555	485
"C3orf20"	30	8	9	22	12	5	12	10	9
"C3orf22"	6	0	1	2	1	0	3	0	2
"C3orf33"	425	94	440	422	307	203	416	529	207
"C3orf35"	107	45	14	31	78	83	26	18	45
"C3orf38"	2139	1015	2818	2322	2145	679	1264	3029	1328
"C3orf49"	42	10	5	14	16	12	6	12	5
"C3orf49P1"	0	0	0	0	0	0	0	0	0
"C3orf52"	196	24	31	212	168	34	150	110	80
"C3orf56"	1	0	0	0	0	0	0	0	0
"C3orf62"	1358	533	560	731	1081	519	369	642	705
"C3orf70"	242	48	62	808	325	74	18	65	186
"C3orf80"	667	108	155	220	215	116	25	373	234
"C3orf84"	3	1	1	0	1	2	4	2	2
"C3orf85"	1	0	2	0	0	0	0	0	0
"C3orf86"	3	1	1	2	6	1	0	0	1
"C3P1"	0	0	0	1	0	0	0	0	0
"C4A"	1056	3339	172	1257	6512	2072	398	859	2676
"C4A-AS1"	0	0	0	0	1	0	0	0	1
"C4B"	1036	2322	46	2182	18332	1861	564	527	2735
"C4B-AS1"	0	0	0	0	0	0	0	0	0
"C4BPA"	14	67	2	22	20	158	1140	18	158
"C4BPAP1"	1	0	0	0	0	2	0	0	0
"C4BPAP2"	27	0	1	1	3	1	2	1	35
"C4BPB"	13	1	4	21	6	8	12	2	21
"C4orf17"	3	0	2	0	1	0	0	3	1
"C4orf19"	301	423	279	1148	1177	207	1074	306	320
"C4orf3"	10745	3650	4533	4091	9579	1672	2191	3960	4742
"C4orf33"	727	386	626	750	1343	150	591	464	471
"C4orf36"	263	223	350	141	376	94	527	685	532
"C4orf45"	1	0	0	0	0	1	3	0	2
"C4orf46"	4241	355	1117	2422	3533	293	858	2158	668
"C4orf47"	328	49	100	132	165	25	19	480	91
"C4orf48"	855	347	271	755	3113	255	258	1812	1468
"C4orf50"	7	4	1	2	9	3	2	4	12
"C4orf51"	3	2	1	3	4	4	1	11	3
"C4orf54"	79	6	186	6	0	1	19	37	256
"C5"	269	88	717	55	314	147	62	395	243
"C5AR1"	1084	372	1674	1343	965	464	562	1546	340
"C5AR2"	84	15	49	40	50	32	76	59	24
"C5orf15"	9948	7460	2781	10387	6259	1380	3386	11967	5052
"C5orf17"	0	41	0	1	5	0	0	5	1
"C5orf22"	3030	1406	3267	3535	3046	717	1957	3164	2267
"C5orf24"	7262	4654	1187	4796	3548	1023	3128	6935	2827
"C5orf34"	501	130	636	566	672	155	457	449	517
"C5orf34-AS1"	19	2	11	275	15	9	40	15	11
"C5orf38"	4	2	82	0	8	5	4	1	13
"C5orf46"	12	41	42	14	62	13	0	140	73
"C5orf47"	2	0	9	3	3	3	7	0	5
"C5orf49"	246	43	210	52	70	99	311	433	74
"C5orf51"	5143	1971	4482	3341	3754	1320	3261	3289	2844
"C5orf52"	4	0	0	1	0	0	0	2	0
"C5orf58"	30	3	1	5	13	15	9	15	20
"C5orf60"	28	0	10	33	6	5	8	2	3
"C5orf63"	494	151	75	230	220	113	131	531	177
"C5orf64"	2	0	0	4	3	0	0	5	2
"C5orf64-AS1"	0	0	0	2	0	0	0	0	0
"C5orf66"	172	53	15	55	89	18	47	57	31
"C5orf66-AS1"	1	8	2	4	4	4	1	1	2
"C5orf66-AS2"	0	1	0	0	2	2	0	0	0
"C5orf67"	36	0	25	2	3	11	2	2	1
"C6"	80	9	1	14	59	8	0	1	44
"C6orf118"	57	5	33	4	50	6	4	76	102
"C6orf120"	1299	546	1008	941	1422	440	1296	1180	1304
"C6orf132"	4851	5750	3024	46020	5404	1713	5258	5761	7178
"C6orf136"	1030	1211	1657	2273	1048	460	956	1348	1851
"C6orf141"	29	16	1	14	18	10	27	180	125
"C6orf15"	41	43	37	6	111	44	39	861	250
"C6orf163"	54	40	41	16	24	17	58	12	67
"C6orf201"	47	1	9	3	10	7	5	10	8
"C6orf223"	259	89	79	1144	1066	70	105	4802	201
"C6orf226"	165	130	109	662	185	53	171	844	637
"C6orf47"	1153	1032	1388	2618	792	430	901	1131	904
"C6orf47-AS1"	0	0	0	0	0	0	0	0	0
"C6orf52"	166	75	185	120	134	51	164	623	47
"C6orf58"	5	6	18	2	18	5	2	7	6
"C6orf62"	9490	5316	11903	16122	10174	2421	10115	10806	9330
"C6orf89"	4913	4773	3501	15874	5501	1635	5261	6341	4410
"C6orf99"	33	10	37	15	19	10	49	28	15
"C7"	4958	1735	150	826	2570	3414	52	39	3943
"C7orf25"	73	54	41	159	100	31	33	36	50
"C7orf26"	2980	2406	1260	7799	2772	2170	1306	1543	2235
"C7orf31"	218	248	131	963	509	143	200	147	322
"C7orf33"	0	2	0	3	2	0	0	0	1
"C7orf50"	3354	4906	1838	8044	7207	1577	1579	3449	2884
"C7orf57"	130	18	94	37	55	52	20	88	10
"C7orf61"	46	2	16	50	87	25	9	63	14
"C7orf65"	1	4	25	3	11	45	1	26	2
"C7orf66"	0	0	0	0	0	0	0	0	0
"C7orf69"	0	0	0	0	3	5	0	0	0
"C7orf77"	0	12	0	2	1	0	0	0	1
"C8A"	0	0	0	0	0	0	9	2	0
"C8B"	0	0	0	1	0	2	5	3	1
"C8G"	69	19	36	69	60	43	11	22	36
"C8orf17"	11	0	1	4	0	4	0	3	2
"C8orf31"	98	93	238	160	888	226	185	1124	245
"C8orf33"	10169	9161	21558	9414	6736	6838	2211	14815	10344
"C8orf34"	102	37	50	153	11	16	18	89	27
"C8orf34-AS1"	40	75	11	525	13	53	7	60	14
"C8orf37"	824	387	499	164	359	301	180	998	440
"C8orf37-AS1"	71	38	56	12	67	54	13	39	20
"C8orf48"	150	11	62	34	120	15	8	19	24
"C8orf58"	867	426	177	512	755	180	199	321	384
"C8orf74"	0	0	1	0	0	0	2	0	0
"C8orf76"	847	268	1157	687	445	232	177	1458	382
"C8orf82"	6405	6920	8215	4907	3790	3525	1860	6230	5145
"C8orf86"	8	0	1	1	1	0	5	0	4
"C8orf87"	0	0	0	0	1	0	0	0	0
"C8orf88"	31	24	31	197	63	11	6	41	21
"C8orf89"	12	4	4	2	0	3	5	1	4
"C9"	4	0	0	1	0	0	2	1	0
"C9orf106"	33	2	80	25	116	27	25	76	18
"C9orf116"	930	491	594	299	1375	226	246	2500	406
"C9orf129"	7	2	3	2	2	4	5	3	4
"C9orf131"	25	14	2	17	24	8	2	9	15
"C9orf135"	54	213	19	3	60	17	2	82	42
"C9orf135-DT"	0	1	1	0	1	1	0	0	2
"C9orf139"	84	10	10	29	48	39	23	29	32
"C9orf147"	55	38	25	47	31	39	23	63	53
"C9orf152"	281	833	45	69	245	45	490	1588	82
"C9orf153"	25	5	3	6	10	5	7	0	22
"C9orf16"	9364	14947	4958	6965	13231	4414	3684	14600	9550
"C9orf163"	198	13	59	10	36	41	19	123	47
"C9orf24"	21	27	20	164	63	61	13	637	80
"C9orf40"	1264	119	505	390	1365	184	255	687	195
"C9orf43"	232	39	203	36	75	37	30	101	61
"C9orf50"	36	31	17	105	238	38	20	226	32
"C9orf57"	0	0	0	0	0	0	0	0	0
"C9orf62"	1	0	0	0	0	0	0	0	0
"C9orf64"	2139	1006	1695	584	1675	90	837	1987	799
"C9orf72"	903	615	671	920	990	623	1439	1216	1329
"C9orf78"	5062	2785	2387	3272	5047	1656	1121	5540	3483
"C9orf85"	810	312	327	330	620	222	268	542	446
"C9orf92"	8	6	1	9	14	3	0	1	6
"CA1"	4	0	2	7	15	11	1	0	11
"CA10"	10	0	3	0	0	2	23	1	4
"CA11"	944	807	1916	664	1710	468	275	900	753
"CA12"	1712	914	427	292	7228	868	1050	3576	1117
"CA13"	421	232	159	301	1435	306	120	509	337
"CA14"	156	53	78	80	83	78	39	100	143
"CA15P1"	5	0	9	7	4	3	0	5	3
"CA15P2"	0	1	1	1	0	0	0	1	0
"CA2"	560	331	233	1055	1414	47	65	1603	119
"CA3"	184	26	15	124	281	55	10	93	159
"CA3-AS1"	41	15	8	20	128	0	2	86	5
"CA4"	64	3	6	9	13	85	13	44	196
"CA5A"	5	3	1	1	4	2	0	1	6
"CA5AP1"	1	0	0	0	0	0	0	0	1
"CA5B"	788	294	1319	439	470	184	353	341	234
"CA5BP1"	919	319	1039	557	564	400	386	1376	229
"CA6"	7	1	2	1	0	1	2	0	2
"CA7"	2	0	1	18	0	6	0	10	1
"CA8"	288	306	349	1499	129	102	9432	898	3602
"CA9"	1270	105	34	248	1981	87	7	62	259
"CAAP1"	2262	1242	1084	846	1862	649	2652	2655	2147
"CAB39"	6765	2654	4432	4850	4203	2675	4219	3057	3300
"CAB39L"	1121	1064	581	1008	1427	376	434	496	381
"CAB39P1"	1	0	2	4	0	0	3	5	0
"CABCOCO1"	18	23	42	69	9	9	15	42	49
"CABIN1"	14810	6963	6565	8327	14885	3204	4841	12788	4758
"CABLES1"	2314	2787	5265	5436	805	2074	2026	2415	2003
"CABLES2"	3173	1661	1233	4319	5519	1033	2673	1305	1328
"CABP1"	35	7	5	33	42	37	68	17	19
"CABP2"	0	0	0	0	0	3	1	0	0
"CABP4"	54	33	13	229	38	42	20	578	59
"CABP5"	1	0	1	0	0	0	0	0	0
"CABP7"	29	792	18	38	77	40	12	17	39
"CABS1"	0	0	0	0	0	0	0	0	0
"CABYR"	642	58	112	583	303	82	312	334	302
"CABYRP1"	1	0	0	0	1	3	0	0	0
"CACFD1"	5182	1083	1996	2148	2570	707	1815	2285	1827
"CACHD1"	2482	990	1207	1846	1850	983	6460	4849	1674
"CACNA1A"	1033	262	505	3330	368	117	315	1260	392
"CACNA1B"	1376	131	688	722	444	400	222	278	118
"CACNA1C"	1126	176	170	388	741	271	149	252	702
"CACNA1C-AS1"	35	2	7	5	8	10	16	10	17
"CACNA1C-AS2"	27	0	1	3	3	9	6	4	9
"CACNA1C-AS3"	4	0	0	0	0	0	0	0	0
"CACNA1C-AS4"	2	0	0	0	6	1	1	1	3
"CACNA1C-IT1"	0	0	0	0	0	0	0	0	0
"CACNA1C-IT3"	2	0	0	1	1	0	0	1	1
"CACNA1D"	392	45	28	699	822	78	158	139	445
"CACNA1E"	131	477	313	244	134	132	86	619	381
"CACNA1F"	261	79	23	103	147	184	42	186	116
"CACNA1G"	1130	60	89	353	455	86	111	107	225
"CACNA1G-AS1"	27	0	4	18	30	1	8	3	10
"CACNA1H"	823	611	172	265	572	181	292	295	659
"CACNA1I"	135	16	12	49	177	26	55	3	56
"CACNA1S"	2	0	3	1	1	0	0	1	9
"CACNA2D1"	487	79	186	220	1429	127	40	1084	321
"CACNA2D1-AS1"	1	0	0	0	3	1	0	0	1
"CACNA2D2"	6341	87	176	167	487	629	447	204	281
"CACNA2D3"	2136	125	51	509	759	723	155	357	365
"CACNA2D3-AS1"	23	0	0	0	2	18	4	5	1
"CACNA2D4"	236	124	82	238	208	113	87	292	132
"CACNB1"	834	221	657	710	2816	690	196	568	1096
"CACNB2"	169	30	58	85	130	77	33	42	160
"CACNB3"	1209	259	636	2338	2655	409	1358	1151	3508
"CACNB4"	60	14	33	26	128	28	23	37	144
"CACNG1"	16	52	100	2	16	11	4	9	26
"CACNG2"	2	1	1	0	3	0	1	0	1
"CACNG3"	2	0	1	0	1	0	0	2	0
"CACNG4"	1771	4021	8446	374	7858	2027	1030	2258	4968
"CACNG5"	2	1	1	0	2	0	0	1	2
"CACNG6"	16	1	2	0	137	2	1138	14	3
"CACNG7"	1	1	0	1	3	0	4	0	0
"CACNG8"	231	8	16	96	166	16	46	19	96
"CACTIN"	2285	869	1386	1938	1641	698	582	1539	1182
"CACTIN-AS1"	76	8	24	19	34	36	5	20	34
"CACUL1"	10858	5066	8660	10091	4589	2226	5577	3819	5368
"CACYBP"	6183	4562	7793	6394	5508	2393	4511	10901	5125
"CACYBPP1"	10	3	2	1	0	2	1	1	0
"CACYBPP2"	62	27	85	50	32	11	28	121	29
"CACYBPP3"	2	0	0	1	0	1	1	0	0
"CAD"	12419	5533	7520	7829	7974	3670	3766	7269	10452
"CADM1"	12347	4206	2237	898	10563	2949	2917	8287	8810
"CADM2"	29	10	14	5	100	0	2	2	8
"CADM2-AS1"	1	0	0	0	0	0	0	0	0
"CADM2-AS2"	0	0	0	0	0	0	0	0	0
"CADM3"	1835	235	75	749	14107	631	77	164	190
"CADM3-AS1"	44	0	2	18	182	18	1	5	16
"CADM4"	2757	488	566	4955	3440	520	1209	873	999
"CADPS"	167	36	2	22	244	12	259	36	48
"CADPS2"	723	294	154	549	1394	128	1030	1776	2966
"CAGE1"	28	2	5	7	3	2	3	20	5
"CAHM"	97	9	11	3	36	10	36	40	32
"CALB1"	45	121	44	1089	43	9	269	7	4
"CALB2"	453	238	99	2319	1643	95	10	219	661
"CALCA"	3	0	1	0	0	0	0	0	2
"CALCB"	12	2	2	3	5	1	0	4	1
"CALCOCO1"	6540	2765	1896	6540	6042	3168	3144	2816	5533
"CALCOCO2"	2964	3435	3366	4127	3956	1991	4963	6322	2141
"CALCP"	0	0	0	0	0	0	0	0	0
"CALCR"	15	2	11	1	1	2	9	8	7
"CALCRL"	895	607	422	1004	1222	301	452	984	623
"CALD1"	24350	10545	9012	14925	22804	10179	2136	17136	22411
"CALHM1"	6	1	4	2	4	4	0	3	14
"CALHM2"	2245	1775	1562	1596	2321	2248	399	2890	4236
"CALHM3"	134	71	49	4	7	33	8	72	27
"CALHM4"	0	2	2	18	0	15	0	0	2
"CALHM5"	463	114	179	444	214	81	48	367	244
"CALHM6"	743	35	86	319	491	160	75	368	165
"CALHM6-AS1"	0	0	0	0	0	1	0	0	0
"CALM1"	36317	9715	18456	25484	20929	6886	9594	14068	17967
"CALM1P1"	3	0	0	3	0	0	0	0	1
"CALM1P2"	1	1	2	0	0	0	0	0	0
"CALM2"	35647	26513	28236	30307	46940	11060	12875	56311	39738
"CALM2P1"	4	2	2	1	3	0	0	3	0
"CALM2P2"	138	31	51	52	72	60	26	60	64
"CALM2P3"	15	15	10	11	24	2	5	32	7
"CALM2P4"	4	3	2	1	5	1	2	4	3
"CALM3"	25910	9452	23559	40470	56380	10478	11011	13253	15182
"CALML3"	1	50	137	3	1	69	0	0	25
"CALML3-AS1"	5	3	66	10	14	56	4	14	10
"CALML4"	232	125	150	318	142	144	246	140	132
"CALML5"	31	24	138	2	4	678	0	1	110
"CALML6"	80	0	45	10	14	66	8	7	20
"CALN1"	24	6	4	5	53	6	73	205	25
"CALR"	110561	30546	41894	222206	80429	32693	52342	102245	49867
"CALR3"	13	7	16	493	0	1	2	11	2
"CALR4P"	0	0	2	3	2	22	3	0	4
"CALU"	31257	10239	12495	29046	29367	7779	8273	22400	14939
"CALY"	11	4	4	5	21	12	0	4	95
"CAMK1"	292	121	211	297	456	148	181	510	195
"CAMK1D"	1416	5078	586	5776	5956	1883	376	1141	13485
"CAMK1G"	99	17	46	47	70	62	69	44	112
"CAMK2A"	83	7	12	18	41	11	1	17	37
"CAMK2B"	299	137	54	126	56	51	339	113	77
"CAMK2D"	2474	486	887	1377	2196	615	591	866	1425
"CAMK2G"	3871	2236	1742	2571	8098	927	1593	2948	2563
"CAMK2N1"	1385	846	375	409	2503	181	1657	441	1083
"CAMK2N2"	91	15	106	198	269	28	52	491	279
"CAMK4"	395	29	55	64	185	59	60	176	271
"CAMKK1"	376	475	251	355	967	235	180	227	159
"CAMKK2"	4751	2458	3282	3230	3442	1991	1563	6317	3392
"CAMKMT"	1199	653	683	583	814	393	615	299	587
"CAMKV"	7	2	1	12	2	10	1	6	10
"CAMLG"	2782	4733	1032	2790	2084	702	1165	2883	1515
"CAMP"	3	0	0	5	30	3	5	0	0
"CAMSAP1"	4449	1495	2083	1972	3799	1026	1495	3604	2275
"CAMSAP2"	4393	845	1512	3825	4649	1573	2161	2825	3189
"CAMSAP3"	9398	7239	4059	13816	3610	2151	1602	2096	2813
"CAMTA1"	4238	2509	2835	2499	5802	626	1713	3330	2841
"CAMTA1-AS1"	2	0	2	2	3	0	0	0	0
"CAMTA1-AS2"	1	0	1	0	9	0	0	3	0
"CAMTA1-DT"	83	8	30	11	35	9	32	58	28
"CAMTA1-IT1"	20	0	18	1	9	1	0	5	3
"CAMTA2"	4066	1358	1914	4089	3872	1860	1229	1857	3557
"CAMTA2-AS1"	58	1	18	6	18	14	5	7	63
"CAND1"	10625	4715	9337	7202	7568	2762	6846	11634	10436
"CAND2"	634	115	126	1067	1346	457	233	1501	774
"CANT1"	10986	4447	6637	6439	4494	2625	3325	12307	4005
"CANX"	88575	48285	53856	44179	32077	8349	39483	39442	20901
"CAP1"	19232	12234	16484	23043	28403	11036	30945	25296	31944
"CAP1P1"	46	29	51	64	62	21	56	83	46
"CAP1P2"	30	11	27	33	46	9	44	56	54
"CAP2"	1943	595	669	684	816	413	952	1361	2141
"CAP2P1"	16	4	3	9	7	12	1	4	7
"CAPG"	8378	7372	9664	10435	11051	3926	6446	7150	2756
"CAPN1"	32503	23411	22116	40958	26141	14702	15026	41865	10637
"CAPN10"	2330	481	1156	1438	980	742	680	630	1103
"CAPN10-DT"	538	42	230	124	90	174	109	91	187
"CAPN11"	34	5	14	17	39	6	1	16	26
"CAPN12"	739	98	372	240	668	388	283	355	275
"CAPN13"	1740	548	546	715	1459	219	7255	304	549
"CAPN14"	51	23	17	11	34	4	4	16	58
"CAPN15"	7911	5137	8869	5449	5179	4194	2464	3571	10878
"CAPN2"	12813	11078	17528	32388	30762	11895	4874	14377	11094
"CAPN3"	95	20	19	52	19	52	31	24	44
"CAPN5"	11974	2423	6784	5817	11054	3865	4298	4432	1787
"CAPN6"	602	64	54	99	162	62	575	292	171
"CAPN7"	3743	1202	2139	3001	2806	930	1688	2745	1801
"CAPN8"	257	14	18	48	20	30	20	14	4
"CAPN9"	141	127	386	77	136	20	485	224	10
"CAPNS1"	37451	31434	32856	39944	48144	12011	22887	40357	18073
"CAPNS1P1"	1	0	0	0	0	0	0	0	0
"CAPNS2"	4	10	2	1	0	1	0	0	0
"CAPRIN1"	28304	9414	11136	21219	31927	8277	14723	25479	11928
"CAPRIN2"	1518	452	738	1564	705	685	1495	562	1637
"CAPS"	9761	5873	6056	2082	2325	1184	4648	15616	1340
"CAPS2"	50	47	128	48	95	33	55	100	91
"CAPS2-AS1"	0	1	2	0	0	0	0	1	0
"CAPSL"	265	25	70	0	18	3	6	84	15
"CAPZA1"	12660	5423	9033	13691	21442	5711	7760	9710	5618
"CAPZA1P1"	7	2	10	6	10	3	6	3	0
"CAPZA1P2"	0	0	0	0	0	0	0	0	0
"CAPZA1P3"	2	0	3	3	3	0	1	3	0
"CAPZA1P4"	0	0	0	0	0	0	0	0	1
