""	"TCGA-23-2078-01"	"TCGA-20-1687-01"	"TCGA-57-1582-01"	"TCGA-13-1410-01"	"TCGA-13-1405-01"	"TCGA-24-2271-01"	"TCGA-61-2111-01"	"TCGA-36-1574-01"	"TCGA-13-1505-01"
"URGCP-MRPS24"	4	3	0	5	8	1	1	1	2
"URI1"	6623	5929	9467	11170	8994	2435	4502	6905	3574
"URM1"	8218	3309	5648	3994	8821	2419	1482	12427	3892
"UROC1"	17	0	2	44	1	5	18	68	12
"UROD"	3883	1557	2313	5083	3788	1384	2013	4122	5809
"UROS"	6292	8271	3868	4710	3258	1226	2216	3046	2993
"USB1"	3885	1332	2430	5280	6936	1818	2560	5519	2001
"USE1"	3350	1392	1415	6038	1362	653	974	2043	1729
"USF1"	3258	2188	2845	6765	4419	2211	3000	3673	2978
"USF1P1"	8	1	1	0	2	0	1	1	0
"USF2"	11781	7316	8067	21089	10830	6181	7280	9745	9905
"USF3"	3622	776	927	2011	2193	703	2199	1571	2103
"USH1C"	13	2	5	23	4	25	42	0	22
"USH1G"	26	130	86	24	37	62	38	4	58
"USH2A"	28	9	10	985	27	97	8	60	35
"USH2A-AS1"	0	0	0	0	0	0	0	0	0
"USH2A-AS2"	0	0	0	0	0	0	0	0	0
"USHBP1"	1365	25	37	122	87	49	448	153	65
"USO1"	5157	3867	7644	10677	6449	1403	3699	6518	3570
"USP1"	7578	2361	5026	6138	5386	1946	1850	9281	2632
"USP10"	5336	3421	4778	4451	6417	2027	4105	9083	3190
"USP11"	12294	12932	16234	16204	10682	3303	12878	10085	15720
"USP12"	2791	1476	1651	1812	2524	965	1058	1212	869
"USP12-AS1"	1	1	1	0	2	0	1	0	0
"USP12-AS2"	2	18	31	14	16	6	4	8	6
"USP12P1"	6	0	1	3	3	0	6	2	1
"USP12P2"	11	0	0	2	3	1	0	0	3
"USP12PX"	1	0	0	0	1	0	1	0	0
"USP12PY"	0	1	2	1	1	0	0	1	0
"USP13"	2807	419	1808	1213	1114	584	350	1163	1707
"USP14"	4694	2495	5290	8049	4802	1137	3280	8967	3626
"USP15"	3018	1063	2035	2474	2197	888	1314	2502	2063
"USP16"	3531	1376	3445	4490	3284	1161	1732	2834	2411
"USP17L1"	0	0	0	2	1	0	0	0	0
"USP17L10"	0	0	0	0	0	0	0	0	0
"USP17L11"	0	0	0	0	0	0	0	0	0
"USP17L12"	0	0	0	0	0	0	0	0	0
"USP17L13"	0	0	0	0	0	0	0	0	0
"USP17L14P"	0	0	0	0	0	0	0	0	0
"USP17L15"	0	0	0	0	0	0	0	0	0
"USP17L16P"	0	0	0	0	0	0	0	0	0
"USP17L17"	0	0	0	0	0	0	0	0	0
"USP17L18"	0	1	0	0	0	0	0	0	0
"USP17L19"	0	0	0	0	0	0	0	0	0
"USP17L2"	5	0	0	0	0	0	0	1	0
"USP17L20"	0	0	0	0	0	0	0	0	0
"USP17L21"	0	0	0	0	0	0	0	0	0
"USP17L22"	0	0	0	0	0	0	0	0	0
"USP17L23"	0	0	0	0	0	0	0	0	0
"USP17L24"	0	0	0	0	0	0	0	0	0
"USP17L25"	0	0	0	0	0	0	0	0	0
"USP17L26"	0	0	0	0	0	0	0	0	0
"USP17L27"	0	0	0	0	0	0	0	0	0
"USP17L28"	0	0	0	0	0	0	0	0	0
"USP17L29"	0	0	0	0	0	0	0	0	0
"USP17L3"	0	0	0	0	0	0	0	0	0
"USP17L30"	0	0	0	0	0	0	0	0	0
"USP17L4"	0	0	0	0	0	0	0	0	0
"USP17L5"	0	0	0	0	0	0	0	0	0
"USP17L6P"	0	0	0	0	0	0	0	0	0
"USP17L7"	4	0	1	0	2	5	0	0	2
"USP17L8"	0	0	0	0	0	0	0	0	0
"USP17L9P"	0	0	0	0	0	0	0	0	0
"USP18"	1973	777	227	5194	1415	325	321	2811	731
"USP19"	12450	5942	4119	7631	7705	3478	3171	7318	4179
"USP2"	322	437	198	360	463	254	140	402	239
"USP2-AS1"	269	245	288	135	199	109	56	783	96
"USP20"	4010	1891	1900	1837	3601	1579	1103	2581	2347
"USP21"	4402	1902	3439	4903	3971	1863	2819	3671	3787
"USP21P1"	1	1	0	0	0	0	0	0	1
"USP21P2"	0	0	0	0	0	0	0	0	0
"USP22"	14994	6425	15678	14306	13597	3095	11578	6384	11963
"USP24"	7131	2495	3286	4631	5079	3004	8206	3320	2895
"USP24P1"	0	0	1	0	1	0	0	0	12
"USP25"	3716	1636	4026	4035	6106	1600	1753	5467	5288
"USP26"	1	0	0	1	0	0	0	0	0
"USP27X"	425	340	394	515	562	161	260	398	234
"USP27X-DT"	83	87	133	108	132	37	103	149	52
"USP28"	3577	3960	2738	5238	3898	1431	4032	5562	2492
"USP29"	1	0	0	1	0	0	0	0	0
"USP3"	2436	1401	1803	1245	1895	1021	1256	3914	2075
"USP3-AS1"	76	37	62	56	42	64	34	107	69
"USP30"	1096	643	1021	1238	1278	600	1472	1255	1900
"USP30-AS1"	51	35	5	46	35	40	14	125	21
