Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4	NK cells	Monocytes	Macrophages M1	Macrophages M2
CXCR1	260.5780432	187.0592932	214.6841388	253.8205315	417.1870896	82.78141165	61.26982624	53.22101207
CXCR2	26.76355546	12.64597482	73.61765642	20.88194891	280.0023863	408.3528365	174.1206652	64.07909887
CXCR5	368.7814351	298.694373	32.70801147	181.8245372	15.13101608	14.61246054	212.2750073	14.43114488
CXCR6	143.966553	137.922284	239.577985	190.1248095	139.1507517	89.88376184	68.56018671	56.08489855
CXorf57	39.26542516	19.44447612	102.1724937	111.2439257	77.38738398	8.024895821	6.694465385	10.44585498
CYP27A1	28.17031886	29.93010894	35.11559608	18.92107732	30.40510025	761.5963848	72.62100796	75.71085354
CYP27B1	839.568697	393.1234511	123.385104	112.6050172	117.9119847	96.6530619	6662.564771	145.7011205
DACH1	8.110268958	6.614252509	6.072925338	6.332890006	18.5565618	63.04081707	4.273621867	8.23248634
DAPK2	50.49233083	52.66107689	36.778245	53.08765217	65.98252315	50.3687963	35.145174	76.65867431
DCSTAMP	38.69538004	19.46232551	45.95452314	19.29191355	85.31836726	100.3959971	171.5562529	278.806442
DEFA4	364.8313155	262.8085775	580.4081606	252.1933458	224.7841847	108.489886	76.11959313	88.37677893
DENND5B	47.963256	82.49743428	4.937003728	6.171513508	4.929861418	5.019653713	7.808323788	36.71555117
DEPDC5	23.00370479	33.44683221	42.10826584	41.85091261	143.2597854	40.17793365	168.2830482	190.192431
DGKA	426.967722	460.0096029	2223.016764	2690.021108	301.113803	300.9545855	169.0248855	215.9013618
DHRS11	53.98997768	69.55072395	88.61812105	27.7175438	85.55342451	46.95962914	18.60026599	242.6906605
DHX58	13.86362993	16.88361737	67.97505932	30.99587635	29.64538132	66.42778065	1394.307066	233.5831274
DPEP2	695.4566346	459.3705381	469.0254782	631.2800075	22.1565212	1471.477094	16.21638188	2410.189476
DPP4	19.45168576	16.56719599	686.98687	1042.227242	391.9641115	19.65506451	175.6975199	32.80967907
DSC1	82.26251271	48.0259129	408.664347	15.6035437	23.81586063	18.85006161	11.66918119	6.707735929
DUSP2	13.29827708	139.2748932	4083.939908	2005.427058	307.9165172	404.8953793	567.6636334	261.4949956
EAF2	3181.18246	2020.339327	219.0176307	138.142275	184.1015768	683.9617628	284.1304512	281.4216469
EBI3	10.50267123	16.93649086	12.21399038	11.53252065	16.85549775	12.4947299	20437.69231	311.2058679
EFNA5	5.427660306	9.117018877	12.03201722	24.29954135	43.79639678	16.87392513	64.26624737	56.80709441
EGR2	122.3401907	98.24319728	35.39583074	36.23835539	1331.912221	466.5929482	23.08754551	2175.756551
ELANE	11.04729816	8.908551164	103.4864778	12.43682411	167.9222444	28.96336488	103.3533021	206.3156576
EMR1	499.0111023	383.0612119	195.8964573	312.812165	188.5213167	1815.513906	3528.214438	404.3935503
EMR2	145.9766252	106.053844	43.05953599	83.26351882	87.43886769	1319.424101	1516.793563	363.8164437
EMR3	55.17004911	124.3420312	104.1704046	63.19960659	64.8769987	379.6236682	13.53604074	5.690710112
EPB41	21.98416943	67.00924563	235.3351386	385.6302551	97.80292842	25.10456886	7.165488052	25.55686935
EPHA1	47.02936831	46.76894576	400.0482873	292.8838925	99.21173158	63.80169822	45.61964119	38.90350151
EPN2	46.90834881	42.21678294	31.50834858	96.20392388	27.97705381	32.43586908	30.74111032	22.48126594
ETS1	988.8726693	792.2524045	613.4935899	1902.189462	696.2669173	85.66933558	130.1202875	75.4038863
ETV3	37.98662268	36.84623894	49.08454024	455.2117491	38.00908858	40.95675962	90.34410993	33.76856098
FAIM3	11191.41447	8362.288551	5723.984822	5134.615329	478.4201622	117.871065	53.69761011	157.4129632
